"","X","Month","AvgTemp","Year","Quarter","Price","Period","MonthYear","Resource","Percent"
"13",13,1,4.6,2016,1,36.95,"1 - 2016","1 - 2016","Coal",13.89
"14",14,2,3.9,2016,1,33.85,"1 - 2016","2 - 2016","Coal",13.89
"15",15,3,5.3,2016,1,34.76,"1 - 2016","3 - 2016","Coal",13.89
"16",16,4,6.5,2016,2,34.37,"2 - 2016","4 - 2016","Coal",4.33
"17",17,5,11.3,2016,2,34.61,"2 - 2016","5 - 2016","Coal",4.33
"18",18,6,13.9,2016,2,37.51,"2 - 2016","6 - 2016","Coal",4.33
"19",19,7,15.3,2016,3,38.4,"3 - 2016","7 - 2016","Coal",2.55
"20",20,8,15.5,2016,3,36.51,"3 - 2016","8 - 2016","Coal",2.55
"21",21,9,14.6,2016,3,51.13,"3 - 2016","9 - 2016","Coal",2.55
"22",22,10,9.8,2016,4,56.03,"4 - 2016","10 - 2016","Coal",8.21
"23",23,11,4.9,2016,4,67.54,"4 - 2016","11 - 2016","Coal",8.21
"24",24,12,5.9,2016,4,49.87,"4 - 2016","12 - 2016","Coal",8.21
"25",25,1,3.9,2017,1,53.37,"1 - 2017","1 - 2017","Coal",9.98
"26",26,2,5.3,2017,1,49.49,"1 - 2017","2 - 2017","Coal",9.98
"27",27,3,7.3,2017,1,41.99,"1 - 2017","3 - 2017","Coal",9.98
"28",28,4,8,2017,2,42.1,"2 - 2017","4 - 2017","Coal",1.48
"29",29,5,12.1,2017,2,41.24,"2 - 2017","5 - 2017","Coal",1.48
"30",30,6,14.5,2017,2,39.68,"2 - 2017","6 - 2017","Coal",1.48
"31",31,7,15.1,2017,3,43.05,"3 - 2017","7 - 2017","Coal",2.06
"32",32,8,14.5,2017,3,43.34,"3 - 2017","8 - 2017","Coal",2.06
"33",33,9,12.6,2017,3,47.17,"3 - 2017","9 - 2017","Coal",2.06
"34",34,10,11.2,2017,4,46.68,"4 - 2017","10 - 2017","Coal",7.96
"35",35,11,5.8,2017,4,51.45,"4 - 2017","11 - 2017","Coal",7.96
"36",36,12,4.1,2017,4,56.18,"4 - 2017","12 - 2017","Coal",7.96
"51",13,1,4.6,2016,1,36.95,"1 - 2016","1 - 2016","Oil",0.4
"52",14,2,3.9,2016,1,33.85,"1 - 2016","2 - 2016","Oil",0.4
"53",15,3,5.3,2016,1,34.76,"1 - 2016","3 - 2016","Oil",0.4
"54",16,4,6.5,2016,2,34.37,"2 - 2016","4 - 2016","Oil",0.51
"55",17,5,11.3,2016,2,34.61,"2 - 2016","5 - 2016","Oil",0.51
"56",18,6,13.9,2016,2,37.51,"2 - 2016","6 - 2016","Oil",0.51
"57",19,7,15.3,2016,3,38.4,"3 - 2016","7 - 2016","Oil",0.38
"58",20,8,15.5,2016,3,36.51,"3 - 2016","8 - 2016","Oil",0.38
"59",21,9,14.6,2016,3,51.13,"3 - 2016","9 - 2016","Oil",0.38
"60",22,10,9.8,2016,4,56.03,"4 - 2016","10 - 2016","Oil",0.46
"61",23,11,4.9,2016,4,67.54,"4 - 2016","11 - 2016","Oil",0.46
"62",24,12,5.9,2016,4,49.87,"4 - 2016","12 - 2016","Oil",0.46
"63",25,1,3.9,2017,1,53.37,"1 - 2017","1 - 2017","Oil",0.77
"64",26,2,5.3,2017,1,49.49,"1 - 2017","2 - 2017","Oil",0.77
"65",27,3,7.3,2017,1,41.99,"1 - 2017","3 - 2017","Oil",0.77
"66",28,4,8,2017,2,42.1,"2 - 2017","4 - 2017","Oil",0.3
"67",29,5,12.1,2017,2,41.24,"2 - 2017","5 - 2017","Oil",0.3
"68",30,6,14.5,2017,2,39.68,"2 - 2017","6 - 2017","Oil",0.3
"69",31,7,15.1,2017,3,43.05,"3 - 2017","7 - 2017","Oil",0.59
"70",32,8,14.5,2017,3,43.34,"3 - 2017","8 - 2017","Oil",0.59
"71",33,9,12.6,2017,3,47.17,"3 - 2017","9 - 2017","Oil",0.59
"72",34,10,11.2,2017,4,46.68,"4 - 2017","10 - 2017","Oil",0.32
"73",35,11,5.8,2017,4,51.45,"4 - 2017","11 - 2017","Oil",0.32
"74",36,12,4.1,2017,4,56.18,"4 - 2017","12 - 2017","Oil",0.32
"89",13,1,4.6,2016,1,36.95,"1 - 2016","1 - 2016","Gas",33.56
"90",14,2,3.9,2016,1,33.85,"1 - 2016","2 - 2016","Gas",33.56
"91",15,3,5.3,2016,1,34.76,"1 - 2016","3 - 2016","Gas",33.56
"92",16,4,6.5,2016,2,34.37,"2 - 2016","4 - 2016","Gas",33.87
